"","EAS.cutoff","EAS.mean_r2","EAS.Methods","EAS.Pop","EUR.cutoff","EUR.mean_r2","EUR.Methods","EUR.Pop","SAS.cutoff","SAS.mean_r2","SAS.Methods","SAS.Pop","VNP.cutoff","VNP.mean_r2","VNP.Methods","VNP.Pop"
"32000.63",32000,87.19,"LmTag_K200","EAS",32000,88.5,"LmTag_K200","EUR",32000,86.5,"LmTag_K200","SAS",32000,89.8,"LmTag_K200","VNP"
"32000.55",32000,82.51,"EQ_uniform","EAS",32000,84.67,"EQ_uniform","EUR",32000,82.1,"EQ_uniform","SAS",32000,86.03,"EQ_uniform","VNP"
"32000.47",32000,78.1,"EQ_MAF","EAS",32000,82.19,"EQ_MAF","EUR",32000,78.73,"EQ_MAF","SAS",32000,82.78,"EQ_MAF","VNP"
"32000.71",32000,86.29,"TagIt","EAS",32000,87.71,"TagIt","EUR",32000,85.71,"TagIt","SAS",32000,89.23,"TagIt","VNP"
"32000.79",32000,82.33,"FastTagger","EAS",32000,81.86,"FastTagger","EUR",32000,79.67,"FastTagger","SAS",32000,80.9,"FastTagger","VNP"
"28000.62",28000,86.03,"LmTag_K200","EAS",28000,87.6,"LmTag_K200","EUR",28000,85.3,"LmTag_K200","SAS",28000,88.91,"LmTag_K200","VNP"
"28000.54",28000,81.31,"EQ_uniform","EAS",28000,83.59,"EQ_uniform","EUR",28000,80.7,"EQ_uniform","SAS",28000,84.93,"EQ_uniform","VNP"
"28000.46",28000,76.35,"EQ_MAF","EAS",28000,80.69,"EQ_MAF","EUR",28000,76.94,"EQ_MAF","SAS",28000,81.29,"EQ_MAF","VNP"
"28000.70",28000,84.99,"TagIt","EAS",28000,86.86,"TagIt","EUR",28000,84.64,"TagIt","SAS",28000,88.13,"TagIt","VNP"
"28000.78",28000,81.41,"FastTagger","EAS",28000,80.68,"FastTagger","EUR",28000,78.15,"FastTagger","SAS",28000,79.19,"FastTagger","VNP"
"24000.61",24000,84.73,"LmTag_K200","EAS",24000,86.27,"LmTag_K200","EUR",24000,83.96,"LmTag_K200","SAS",24000,87.84,"LmTag_K200","VNP"
"24000.53",24000,79.64,"EQ_uniform","EAS",24000,82.09,"EQ_uniform","EUR",24000,78.97,"EQ_uniform","SAS",24000,83.55,"EQ_uniform","VNP"
"24000.45",24000,73.84,"EQ_MAF","EAS",24000,78.99,"EQ_MAF","EUR",24000,74.94,"EQ_MAF","SAS",24000,79.3,"EQ_MAF","VNP"
"24000.69",24000,83.68,"TagIt","EAS",24000,85.51,"TagIt","EUR",24000,83.24,"TagIt","SAS",24000,86.95,"TagIt","VNP"
"24000.77",24000,80.38,"FastTagger","EAS",24000,78,"FastTagger","EUR",24000,75.6,"FastTagger","SAS",24000,77.62,"FastTagger","VNP"
"20000.60",20000,82.99,"LmTag_K200","EAS",20000,84.67,"LmTag_K200","EUR",20000,82.12,"LmTag_K200","SAS",20000,86.41,"LmTag_K200","VNP"
"20000.52",20000,77.54,"EQ_uniform","EAS",20000,80.09,"EQ_uniform","EUR",20000,76.81,"EQ_uniform","SAS",20000,81.85,"EQ_uniform","VNP"
"20000.44",20000,70.8,"EQ_MAF","EAS",20000,76.34,"EQ_MAF","EUR",20000,72.02,"EQ_MAF","SAS",20000,76.82,"EQ_MAF","VNP"
"20000.68",20000,82.02,"TagIt","EAS",20000,83.95,"TagIt","EUR",20000,81.34,"TagIt","SAS",20000,85.6,"TagIt","VNP"
"20000.76",20000,78.77,"FastTagger","EAS",20000,76.13,"FastTagger","EUR",20000,73.57,"FastTagger","SAS",20000,76.11,"FastTagger","VNP"
"16000.59",16000,80.63,"LmTag_K200","EAS",16000,82.48,"LmTag_K200","EUR",16000,79.55,"LmTag_K200","SAS",16000,84.44,"LmTag_K200","VNP"
"16000.51",16000,74.59,"EQ_uniform","EAS",16000,77.39,"EQ_uniform","EUR",16000,73.5,"EQ_uniform","SAS",16000,79.18,"EQ_uniform","VNP"
"16000.43",16000,66.73,"EQ_MAF","EAS",16000,73.13,"EQ_MAF","EUR",16000,68.24,"EQ_MAF","SAS",16000,73.4,"EQ_MAF","VNP"
"16000.67",16000,79.62,"TagIt","EAS",16000,81.73,"TagIt","EUR",16000,78.78,"TagIt","SAS",16000,83.55,"TagIt","VNP"
"16000.75",16000,75.18,"FastTagger","EAS",16000,72.28,"FastTagger","EUR",16000,69.62,"FastTagger","SAS",16000,71.87,"FastTagger","VNP"
"12000.58",12000,77.17,"LmTag_K200","EAS",12000,78.94,"LmTag_K200","EUR",12000,75.36,"LmTag_K200","SAS",12000,81.3,"LmTag_K200","VNP"
"12000.50",12000,70.64,"EQ_uniform","EAS",12000,73.06,"EQ_uniform","EUR",12000,68.75,"EQ_uniform","SAS",12000,75.06,"EQ_uniform","VNP"
"12000.42",12000,61.04,"EQ_MAF","EAS",12000,68.67,"EQ_MAF","EUR",12000,62.85,"EQ_MAF","SAS",12000,68.45,"EQ_MAF","VNP"
"12000.66",12000,76.14,"TagIt","EAS",12000,78.26,"TagIt","EUR",12000,74.53,"TagIt","SAS",12000,80.5,"TagIt","VNP"
"12000.74",12000,72.28,"FastTagger","EAS",12000,67.46,"FastTagger","EUR",12000,64.44,"FastTagger","SAS",12000,67.98,"FastTagger","VNP"
"8000.57",8000,70.67,"LmTag_K200","EAS",8000,72.45,"LmTag_K200","EUR",8000,67.79,"LmTag_K200","SAS",8000,75.18,"LmTag_K200","VNP"
"8000.49",8000,62.8,"EQ_uniform","EAS",8000,65.79,"EQ_uniform","EUR",8000,60.25,"EQ_uniform","SAS",8000,67.96,"EQ_uniform","VNP"
"8000.41",8000,53.16,"EQ_MAF","EAS",8000,61.29,"EQ_MAF","EUR",8000,54.76,"EQ_MAF","SAS",8000,61.11,"EQ_MAF","VNP"
"8000.65",8000,69.48,"TagIt","EAS",8000,71.88,"TagIt","EUR",8000,66.96,"TagIt","SAS",8000,74.4,"TagIt","VNP"
"8000.73",8000,65.57,"FastTagger","EAS",8000,60.24,"FastTagger","EUR",8000,56.54,"FastTagger","SAS",8000,59.55,"FastTagger","VNP"
